uuid,source_id,name,intermediate_category_id,intermediate_category_name,type,type_name,land_area,area_sq_km,override_name,latitude,longitude
f2ef3cd2-1184-48b6-b400-e92f6b238eff,1001,Auckland,101,Urban core,1,Metropolitan area,605.6686872599984,607.2711194799982,,-36.90272245423798,174.77487552321776
046bdd84-c086-41af-b7a3-7a374644d2ff,1002,Hamilton,101,Urban core,1,Metropolitan area,110.37310035000021,110.37310035000021,,-37.78693984460282,175.28219898519504
f437577d-e06c-44d4-9288-457ffeae46d0,1003,Tauranga,101,Urban core,1,Metropolitan area,141.91432144000004,142.15147825000008,,-37.70198451383706,176.19200184615255
c0004777-ee84-45f4-82e1-4a3dcfdcbfa7,1004,Wellington,101,Urban core,1,Metropolitan area,112.71221247,112.84839722999999,,-41.29936914436876,174.7963892949547
209255a6-38cb-4b66-909b-668992453cb2,1005,Christchurch,101,Urban core,1,Metropolitan area,294.42858212999977,294.42858212999977,,-43.543929244485426,172.65673909432942
427678ab-1959-4a80-b7e7-628f8a0b9c65,2001,Whangārei,101,Urban core,2,Large regional centre,63.53378527,63.53378527,,-35.719769199481846,174.32746843738812
0c7cdafb-4bf9-4e21-bb39-ff1c7ecd37bf,2002,Rotorua,101,Urban core,2,Large regional centre,46.05946552,46.05946552,,-38.12759384471221,176.2614959799957
c33a9416-d9c9-4127-bf27-6d2291029ac1,2005,Napier,101,Urban core,2,Large regional centre,105.05105003000001,105.21679624,,-39.47490473102249,176.8748112347646
98570da2-2e07-4077-b14e-5e3e99d38810,2006,New Plymouth,101,Urban core,2,Large regional centre,74.78718462999997,74.78718462999997,,-39.05918092207506,174.08111608540023
de8f26be-64e2-4a0a-b6ef-ba954efaeb80,2007,Whanganui,101,Urban core,2,Large regional centre,41.05134996999998,41.05134996999998,,-39.92572106878108,175.0395435669713
cec9d401-4b02-403c-a526-6b2f802278eb,2009,Kapiti Coast,101,Urban core,2,Large regional centre,28.382715789999995,28.382715789999995,,-40.909918712911455,174.9996811476461
0fc03ec9-f6ce-4e84-9f5e-98dbd47d6606,2010,Nelson,101,Urban core,2,Large regional centre,54.68595409,54.835020820000004,,-41.29018133491112,173.24280116766124
8c41d30b-bb25-4a82-b22f-0c6ab588a499,2011,Invercargill,101,Urban core,2,Large regional centre,62.952183969999986,62.952183969999986,,-46.42991495069179,168.32802107559493
e819631b-2a0c-419a-8904-f8671eb709f1,3010,Greymouth,101,Urban core,3,Medium regional centre,27.701737500000007,27.836933400000007,,-42.4946805918387,171.17900080154857
83076d28-e2c5-4211-ba2b-2c93dc4cd695,3001,Cambridge,101,Urban core,3,Medium regional centre,27.353067749999994,27.353067749999994,,-37.89011356499488,175.46811632216125
bc225380-8d32-46cb-9b26-47e601017785,3004,Taupō,101,Urban core,3,Medium regional centre,42.05301378999998,42.09178993999998,,-38.70283191436017,176.06508721235636
0372e918-05b5-47ab-8ec9-6900265da368,3011,Ashburton,101,Urban core,3,Medium regional centre,39.991695709999995,39.991695709999995,,-43.897462072345995,171.7507214266834
502ccd71-29ea-4c96-85cb-e9bec0f032f6,3012,Timaru,101,Urban core,3,Medium regional centre,33.98347436,34.119413699999996,,-44.38655968401421,171.23449743385217
8d6eef50-d06f-4f25-b4a8-02396660dd03,3013,Oamaru,101,Urban core,3,Medium regional centre,20.213004610000002,20.213004610000002,,-45.08506489625808,170.97791900227116
1930d343-2b95-4419-a1f1-4f14f72229b9,3014,Queenstown,101,Urban core,3,Medium regional centre,86.60854062000003,86.60854062000003,,-45.038684555031175,168.67348910649832
8ee0fb50-ced6-4574-9d0c-90af00988d2a,3015,Wānaka,101,Urban core,3,Medium regional centre,28.61159563,28.61159563,,-44.68396931709146,169.14577406640944
3d4f298e-3bf3-4007-a2d5-2bc26d73f5b0,4002,Kerikeri,101,Urban core,4,Small regional centre,22.050798559999997,22.050798559999997,,-35.215935794680654,173.96601398838595
98d4e7ee-e532-42d1-a60b-2d1a11da6e5c,4003,Warkworth,101,Urban core,4,Small regional centre,15.581744989999999,15.581744989999999,,-36.3947239437386,174.64816630124656
2049e4d5-57f6-48dc-9c09-ebecc3c399d8,4004,Whitianga,101,Urban core,4,Small regional centre,17.197067080000004,17.38861522,,-36.821174049394294,175.6967423742312
8273a655-255b-4557-80c0-08acc72588ef,4005,Thames,101,Urban core,4,Small regional centre,16.993326440000004,17.021628780000004,,-37.14827618529155,175.5506534016452
139f7e59-4cdb-4473-96a8-fc9f12e66dfe,4006,Waihī,101,Urban core,4,Small regional centre,9.54863266,9.54863266,,-37.39123797710651,175.84358351394357
b163f471-97f5-4386-a502-0f158fcaf966,4009,Matamata,101,Urban core,4,Small regional centre,9.586931139999997,9.586931139999997,,-37.813034252988025,175.77101101815916
ce877c93-ca9b-40c6-9377-b90e3344bd2d,4010,Katikati,101,Urban core,4,Small regional centre,9.968838449999996,9.968838449999996,,-37.55457801452431,175.93339969680272
47775ae2-3954-4f13-93ef-4f805f0f86bf,4014,Hāwera,101,Urban core,4,Small regional centre,25.183113470000002,25.183113470000002,,-39.58986151129044,174.27784955018137
c3c5a272-0c60-4081-aa18-76b8fd6ac71c,4016,Dannevirke,101,Urban core,4,Small regional centre,6.815783060000003,6.815783060000003,,-40.20297301703465,176.10206112091703
7835bde5-f1b4-441b-8374-477b41ebd818,4022,Gore,101,Urban core,4,Small regional centre,13.762126290000001,13.762126290000001,,-46.106284636843924,168.94190912916338
4668a34c-f372-4eb5-a8e9-b275b1a90033,1006,Dunedin,101,Urban core,1,Metropolitan area,91.16187842999994,91.33705062999994,,-45.858650571053225,170.5675392948995
608170fb-465c-47a7-9252-da73300dd914,3003,Tokoroa,101,Urban core,3,Medium regional centre,15.645593620000005,15.645593620000005,,-38.23018514459438,175.86317826714517
16276366-9b09-4640-b280-2dfa18413c12,2003,Gisborne,101,Urban core,2,Large regional centre,37.43279475,37.456327529999996,,-38.675714328909,178.05426370746886
bd312eae-9ead-4b39-814f-3c8be40bb962,2004,Hastings,101,Urban core,2,Large regional centre,26.294477860000008,26.294477860000008,,-39.62898460918507,176.82078292428716
ea35df71-d4cb-4fd8-ad7f-16d0cccabe03,3007,Levin,101,Urban core,3,Medium regional centre,22.914418599999987,22.914418599999987,,-40.62341329993992,175.2778121747078
fbe98d6d-1e19-4fcb-b0be-edc70606e766,2008,Palmerston North,101,Urban core,2,Large regional centre,77.04947168000014,77.04947168000014,,-40.357729312140506,175.62550446798977
9f77b481-4fce-482e-be34-37d25aa38a0b,4001,Kaitāia,101,Urban core,4,Small regional centre,8.47857741,8.47857741,,-35.107765464981426,173.25734305366234
6fc2d727-8c8c-4473-9e7e-89037014bdf9,3002,Te Awamutu,101,Urban core,3,Medium regional centre,14.17894211,14.17894211,,-37.99841251024782,175.33305207797676
aec6e6ac-b3bd-4f17-935d-96ad8fd3370f,3005,Whakatāne,101,Urban core,3,Medium regional centre,24.405165100000005,24.787613350000004,,-37.94960969377415,176.98236906897228
7f6606de-4d69-4c26-b0b6-490dde79c94f,3006,Feilding,101,Urban core,3,Medium regional centre,23.591627090000003,23.591627090000003,,-40.2279473486699,175.55515109148303
3d89af64-5321-401a-8fae-39a752d1e620,3008,Masterton,101,Urban core,3,Medium regional centre,22.447393709999993,22.447393709999993,,-40.953656948774764,175.64748754381753
3ee30e08-8cb7-44cb-9378-d146d9e9304b,4008,Morrinsville,101,Urban core,4,Small regional centre,10.28016603,10.28016603,,-37.65399511212473,175.53450455424138
bd504926-7d8e-4f11-ae2a-0149631b16be,3009,Blenheim,101,Urban core,3,Medium regional centre,27.456330359999992,27.456330359999992,,-41.521140862292484,173.96341385492428
8a2f8982-731c-4867-b5b6-65d35d448c0a,4013,Stratford,101,Urban core,4,Small regional centre,8.90446158,8.90446158,,-39.33711932409517,174.285014420693
ee57d05f-c4ca-4281-a307-762920fba89e,4007,Huntly,101,Urban core,4,Small regional centre,16.57408787,16.57408787,,-37.54865877116102,175.15949342855856
2d891a19-4203-47c0-8522-4080fb747344,4015,Marton,101,Urban core,4,Small regional centre,10.991079790000006,10.991079790000006,,-40.07393198599265,175.38476896457573
7c1fbfde-e916-4a66-b622-79ab491ff92c,4011,Te Puke,101,Urban core,4,Small regional centre,12.131564860000001,12.131564860000001,,-37.78691414206307,176.31917102563065
be77e48c-557e-41bf-aedd-ed0225367580,4012,Kawerau,101,Urban core,4,Small regional centre,23.56207481,23.56207481,,-38.09438999394805,176.7023923659676
c6055aad-c2d8-4ddc-bad9-eccc8b74b390,4017,Ōtaki,101,Urban core,4,Small regional centre,12.619196350000003,12.619196350000003,,-40.74943282119216,175.14155163078453
7e73d032-9647-486b-aff4-3e0a7461492f,4018,Motueka,101,Urban core,4,Small regional centre,12.684466969999999,12.735140779999998,,-41.125380776879226,173.01352225223755
0ab0fbfe-b9e8-4e35-8bd6-be3938bb0406,4019,Cromwell,101,Urban core,4,Small regional centre,15.627632830000003,15.627632830000003,,-45.05211935569376,169.19143330902997
ad68197e-acd7-43a9-a23d-79c7f5546974,4020,Alexandra,101,Urban core,4,Small regional centre,9.760935949999999,9.760935949999999,,-45.2534585375536,169.3839125421803
